index,prediction
0,"['PROPOS', 'NATURE', 'INGREDIENT MENAGER', 'MULTI-USAGE', 'TERREDE', 'SOMMIERES', '100%NATUREL', 'Argile 100% pure et naturelle, la terre de', 'Sommieres presente des proprietesabsorbantes', 'qui permettent le nettoyage a sec des taches', 'recalcitrantes sur toutes les surfaces (moquette,', 'tapis, parquet...). Elle est aussi efficace pour', 'desodoriser le linge.', 'Ingredient Bentonite', 'Dosage conseill Selon usage', 'ge fermobrde la chorte hm', '100%', '500g', ""LABORATOIRE PROPOS'NATUREE""]"
1,"['TEARRIFIC', 'LEBENSMITTELECHT', 'HDAY', 'GEPRAGTES', 'DESIGN', 'AS YOULIKE', 'BEST', 'HITT', 'Designed in', 'OR', 'caee', 'Berlin', 'OR', '4', 'celd', 'LIZENZIERTE UND GESCHUTZTE DESIGNS']"
2,"['COMPOSITION', 'Serving Size:1 Tablet 0.709 g)Each serving contains (Approx.Values', 'Ingredient', 'Qty./Serving', '%RDA""', '*PHOSPHOcomplexSilybin (Sillybum marianum)', '200 mg', '**', 'Dandelion Taraxacum officinale) leaf extract-101', '100 mg', '**', 'Kutki Picrorhiza kurroa)rhizome extract-0.5%Bitters', '50 mg', '**', 'Kasani Cichorium intybus seed extract-1%Bitters', '25 mg', '**', 'Punarnava Boerhavia diffusa root extract-0.07%alkaloids', '25 mg', '**', 'Bhui amla Phyllanthus amarus WP extract-0.5%Bitters', '25 mg', 'Amla (Phyllanthus emblica) fruit extract-10%Tannins', '25 mg', 'Licorice (Glycyrrhiza glabra) root extract-5%Glycyrrhizin', '25 mg', 'Vitamin E', '10 mg', '100', 'Piper nigrum fruit extract-95%Piperine', '5 mg', '**', 'NUTRITIONAL INFORMATION PER SERVING (APPROX.VALUES)', 'Nutrients', 'Qty./Serving', '%RDA#', 'Energy', '3.04kcal', '0.13', 'Carbohydrate', '0.51 g', '**', '(Sugars)', '0.2 g', '**', 'Protein', '0.04g', '0.07', 'Fat', '0.09 g', '**', '%RDA values established as per ICMR 2010 for sedentary lifestyle-Men', '**%RDA not established by ICMR']"
3,"['WarningConsult your physician before using this product if you are pregnantnursing.taking any medication or having', ""ZRDA'"", ':', '1118', 'ZRDA', ':', 'CONTAINS PERMITTED SYNTHETIC F00D C0LOURS [INS 171.INS 172().INS 172(&INS 172', 'Qty./Serving', 'EEEE', 'ow', 'Qty./Serving', '3.04kcal', '0.51g', '600', '6900', '0.09 g', 'Serving Size:1 Tablet (0.709 gEach serving contains Approx.Values', 'o', 'Punarnava (Boerhavia diffusa root extract-0.07z alkaloids', 'Bhui amla (Phyllanthus amarus) WP extract-0.5% Bitters', 'Kutki (Picrorhiza kurroa rhizome extract-0.5z Bitters', 'Dandelion Taraxacum officinale) leaf extract- 10:1', 'Kasani Cichorium endivia seed extract-1% Bitters', 'Amla (Phyllanthus emblica) fruit extract-10% Tannins', 'PHOSPHOcomplexSilybin (Silybum marianum)', 'Piper nigrum fruit extract-95xPiperine', 'a medical condition.', 'COMPOSITION', 'ngredient', 'itamin E', 'Carbohydrate', 'Enrey', 'Protein']"
4,"['Horbaach', 'HIGHSTRENGTH', 'PSYLLIOM', 'HUSK', '1400', 'PLANTAGO OVATA', 'MG', 'PLANT SEEDS', 'FOOD', '365', 'VEGAN', 'SUPPLEMENT', 'CAPSULES']"
5,"['Horbaach', 'HIGHSTRENGTH', 'Naturally-Sourced Psyllium', 'PSYLLIOM', 'HUSK', 'High strength 1400mg', 'per serving', '1400MG', 'PLANTAGO OVATA', 'PLANT SEEDS', 'Suitable for Vegans & Vegetarians', 'FOOD', 'SUPPLEMENT', '365', 'VEGAN', 'CAPSULES', 'Horbaach']"
6,"['Horbaach', 'Directions: For adults, take two (2) vegan capsules', 'daily, preferably with a meal. Do not exceed stated dose', 'Nutrition Information', 'Typically Per Daily Dose', 'HIGHSTRENGTH', '1400mg', 'Psyllium Husk Powder', 'PSYLLIOM', 'Ingredients:Psyllium Husk Powder,Capsule Shell (Hy-', 'droxypropylmethylcellulose), Anti-Caking Agents (Mag', 'nesium Salts of Fatty Acids, Silicon Dioxide).', 'HUSK', 'May contain Sesame Seeds & Mustard.For allergens,', 'see the ingredients in bold.', 'Notice: Take this product with 220ml of fluids. Taking', 'this product without adequate fluid may cause the pos-', '1400MG', 'sibility of choking.Do not use this product if you have', 'PLANTAGO OVATA', 'difficulty swallowing.If you experience chest pain, vom-', 'PLANT SEEDS', 'iting or difficulty in swallowing or breathing after taking', 'this product, seek immediate medical attention. Do not', 'take before sleeping.Fibre products can affect the ab-', 'sorption of many medications.Do not take this product', 'within 1.5 hours of taking medication.', 'Free From: Artificial Colour, Artificial Flavour, Artificial', 'Sweetener, Preservatives.', 'FOOD', '365', 'VEGAN', 'SUPPLEMENT', 'CAPSULES', 'SUITABLE FOR VEGETARIANS & VEGANS', 'HU16790C', 'Horbaach.']"
7,"['VEGAN', 'Horbaach', 'WHEAT', 'FREE', 'HIGH STRENGTH', '000', 'PSYLLIOM', 'SOY', 'HUSK', 'FREE', 'PLANTAGO OVATA', '1400MG', 'PLANT SEEDS', 'DAIRY', 'VEGAN', 'FREE', '365', 'CAPSULES', 'FOOD', 'SUPPLEMENT', 'FREEFROM', 'PRESERVATIVES', 'Horbaach']"
8,"['Horbaach', '100%', 'HIGHEST', 'QUALITY', 'Horbaach', 'TO', 'GMP', 'HIGHSTRENGTH', 'PSYLLIUM', 'GMP', 'HUSK', 'PLANTAGO OVATA', '1400MG', 'PLANT SEEDS', 'VEGAN', '365', 'CAPSULES', 'FOOD', 'SUPPLEMENT', 'Horbaach']"
9,"['NEWOOK', 'SAME TRUSTED OUALITY', 'OLD', 'NEW', 'Horbaach', 'Horbaach', 'HIGHSTRENGTH', 'PSYLLIOM', 'HIGHSTRENGTH', 'HUSK', 'PSYLLIOM', 'HUSK', '1400MG', 'oer', 'serving', '1400MG', 'PLANTAGO OVATA', 'PLANT SEEDS', 'FOOD', '365', 'VEGAN', 'SUPPLEMENT', 'CAPSULES', 'FOOD', '365', 'VEGAN', 'SUPPLEMENT', 'CAPSULES', 'Horbaach', 'PACKAGING MAY VARY']"
10,"['GroBe Kapazitat, Tragfahigkeit bis zu 30KG', 'Das Material ist ca.5mm dick und die Fugen sind verstarkt, so dass', 'es sehr stark ist', 'Tragfahigkeit bis zu 30KG, kann eine Vielzahl von Gegenstanden', '30', 'KG', 'aufnehmen.']"
11,"['WILDFANG', 'XS', 'S', 'XL', '1,3 cm', '2 cm', '2,5cm', '3 cm', '3,5 cm', '12 cm', '13 cm', '14 cm', '15 cm', '16cm', '<10 kg', '10-15 kg', '15-25 kg', '25-45 kg', '>45 kg']"
